Product_Form,Cu,Ni,Mn,P,Temperature_Celsius,Fluence_1E19_n_cm2,DT41J_Celsius
F,0.04,0.74,0.6,0.012,287.0,0.4619,24.88888888888889
F,0.04,0.74,0.6,0.012,287.0,0.4619,19.27777777777778
F,0.04,0.74,0.6,0.012,287.0,4.385,38.611111111111114
F,0.04,0.74,0.6,0.012,287.0,4.385,12.833333333333334
W,0.03,0.56,1.4,0.005,287.0,0.4619,4.388888888888889
W,0.03,0.56,1.4,0.005,287.0,4.385,14.666666666666666
P,0.15,0.52,1.32,0.01,291.1111111111111,0.0727,10.0
P,0.15,0.52,1.32,0.01,291.1111111111111,0.0727,24.444444444444443
P,0.15,0.52,1.32,0.01,292.22222222222223,1.03,26.11111111111111
P,0.15,0.52,1.32,0.01,292.22222222222223,1.46,29.444444444444443
P,0.15,0.52,1.32,0.01,292.22222222222223,1.03,39.44444444444444
P,0.15,0.52,1.32,0.01,292.22222222222223,1.46,24.444444444444443
P,0.15,0.52,1.32,0.01,292.22222222222223,0.428,12.222222222222221
P,0.15,0.52,1.32,0.01,292.22222222222223,0.428,-2.7777777777777777
W,0.27,0.58,1.49,0.016,291.1111111111111,0.0727,55.55555555555556
W,0.27,0.58,1.49,0.016,292.22222222222223,1.03,80.55555555555556
W,0.27,0.58,1.49,0.016,292.22222222222223,1.46,96.66666666666667
P,0.096,0.58,1.4,0.009,290.0,0.303,13.055555555555555
P,0.096,0.58,1.4,0.009,290.0,0.303,18.555555555555554
P,0.096,0.58,1.4,0.009,290.0,2.15,29.38888888888889
W,0.045,0.083,1.33,0.004,290.0,0.303,7.333333333333334
W,0.045,0.083,1.33,0.004,290.0,2.15,8.944444444444445
F,0.03,0.73,1.33,0.007,293.3333333333333,0.388,3.111111111111107
F,0.03,0.73,1.33,0.007,289.44444444444446,1.17,21.055555555555557
F,0.03,0.73,1.33,0.007,290.0,1.98,13.333333333333329
F,0.03,0.73,1.33,0.007,293.3333333333333,0.388,-8.777777777777779
F,0.03,0.73,1.33,0.007,289.44444444444446,1.17,16.27777777777778
F,0.03,0.73,1.33,0.007,290.0,1.98,20.61111111111111
W,0.04,0.67,1.44,0.015,293.3333333333333,0.388,9.666666666666668
W,0.04,0.67,1.44,0.015,289.44444444444446,1.17,16.555555555555557
W,0.04,0.67,1.44,0.015,290.0,1.98,27.22222222222222
F,0.057,0.77,1.38,0.013,288.8888888888889,0.388,-5.333333333333332
F,0.057,0.77,1.38,0.013,288.8888888888889,1.15,-5.333333333333332
F,0.057,0.77,1.38,0.013,288.8888888888889,2.07,2.555555555555557
F,0.057,0.77,1.38,0.013,288.8888888888889,0.388,-0.05555555555555358
F,0.057,0.77,1.38,0.013,288.8888888888889,1.15,18.77777777777778
F,0.057,0.77,1.38,0.013,288.8888888888889,2.07,18.38888888888889
W,0.04,0.64,1.45,0.011,288.8888888888889,0.388,-0.4444444444444464
W,0.04,0.64,1.45,0.011,288.8888888888889,1.15,14.499999999999998
W,0.04,0.64,1.45,0.011,288.8888888888889,2.07,13.166666666666664
P,0.14,0.55,1.35,0.007,275.55555555555554,0.0152,15.0
