Product_Form,Cu,Ni,Mn,P,Temperature_Celsius,AUC
P,0.05,0.63,1.38,0.004,288.0,343.56285478846667
F,0.05,0.7,0.64,0.006,282.6,305.57645493113154
P,0.06,0.65,1.36,0.008,290.0,399.1252097878149
P,0.05,0.66,1.27,0.007,290.0,358.69361620860974
P,0.2,0.54,1.31,0.01,283.8888888888889,946.3234603574383
P,0.051,0.54,1.5,0.015,288.9,442.2966907344041
P,0.054,0.52,1.45,0.012,288.9,421.6235612955815
P,0.1,0.51,1.3,0.009,290.55555555555554,516.8157981730851
F,0.077,0.697,1.215,0.011,280.0,524.7410584067669
P,0.14,0.662,1.255,0.009,285.0,736.8790538094012
P,0.14,0.49,1.4,0.009,280.0,779.7745122060663
F,0.13,0.74,0.71,0.018,286.1111111111111,620.506701004108
F,0.13,0.76,0.62,0.02,286.1111111111111,616.0268481703591
F,0.16,0.8,0.71,0.013,292.77777777777777,643.2576034001986
P,0.087,0.6,1.26,0.01,292.77777777777777,468.8257800518075
P,0.07,0.59,1.45,0.007,292.77777777777777,407.4683473146987
F,0.06,0.72,1.41,0.013,280.0,499.24523158340793
P,0.0505,0.58175,1.25175,0.0076,291.6666666666667,349.7115136674696
P,0.05,0.56,1.32,0.01,283.8888888888889,430.0936650969052
P,0.06,0.62,1.3,0.007,291.3,374.87839297378446
P,0.06,0.58,1.45,0.005,291.3,364.0890956098284
F,0.1,0.83,0.75,0.015,282.0,582.1862487802293
P,0.11,0.49,1.375,0.01,276.1111111111111,724.6461225245693
F,0.09,0.845,0.725,0.008,294.44444444444446,405.63945156134787
P,0.12,0.53,1.315,0.007,275.55555555555554,748.6341902817918
W,0.1,0.44,0.9,0.014,282.0,542.3469664709567
P,0.1,0.56,1.4,0.015,283.3333333333333,642.6006111943493
W,0.22,0.643,1.52,0.012,282.6,1154.1382809005454
P,0.06,0.55,1.32,0.005,291.6666666666667,351.4568483152046
W,0.09,0.66,1.44,0.013,276.0,648.1706454863713
P,0.15,0.52,1.32,0.01,292.22222222222223,660.3859036228788
P,0.15,0.6,1.27,0.011,290.0,704.5756276643926
F,0.154,0.78,0.686,0.012,291.6666666666667,625.1597221166794
W,0.03,0.07,1.7,0.01,288.0,365.69575390025614
F,0.057,0.77,1.38,0.013,288.8888888888889,419.858240767933
W,0.08,0.84,1.11,0.015,295.0,437.46768433195876
P,0.24,0.6,1.35,0.018,276.0,1314.17251626578
P,0.05,0.62,1.31,0.014,292.22222222222223,396.5708162970324
P,0.081,0.61,1.393,0.012,294.44444444444446,460.53269531068474
W,0.13,0.84,1.44,0.015,276.0,927.6442169656635
P,0.195,0.597,1.327,0.005,283.8888888888889,928.8487037140605
W,0.03,0.7,1.65,0.008,287.0,359.640853655488
W,0.19,1.15,1.1,0.014,282.0,1427.6598218738252
W,0.029,0.11,1.44,0.018,288.9,385.0317028220846
W,0.07,0.93,1.6,0.007,290.0,460.7125278491475
W,0.023,0.12,1.54,0.019,290.0,389.52057758370864
F,0.05,0.74,1.41,0.005,286.0,355.97915023690933
W,0.02,0.18,1.53,0.012,290.0,354.38228058406986
F,0.06,0.71,0.69,0.01,280.0,388.2365123945804
P,0.172,0.584,1.16,0.018,276.6666666666667,998.6036987814678
F,0.06,0.75,0.79,0.01,280.0,408.0247815120509
W,0.23,1.08,1.83,0.009,284.0,1554.8671180643657
W,0.08,1.58,1.46,0.009,283.2,1869.4112460567233
W,0.04,0.95,1.41,0.009,290.55555555555554,390.39745288963104
P,0.1,0.18,1.42,0.016,298.8888888888889,452.1163645659582
W,0.26,0.62,1.37,0.018,283.8888888888889,1277.4959166201293
W,0.041,0.605,1.76,0.008,288.9,350.0941820893983
P,0.096,0.58,1.4,0.009,290.0,525.3019934612427
F,0.11,1.0,0.85,0.008,290.0,600.7035026290125
P,0.11,0.58,1.285,0.017,282.77777777777777,684.7926612799131
P,0.19,0.465,1.19,0.008,285.55555555555554,838.4718254871466
F,0.07,0.67,1.35,0.008,287.0,426.86517608449583
P,0.195,0.597,1.327,0.005,283.3333333333333,938.2411445815804
F,0.07,0.65,1.18,0.005,289.44444444444446,366.96752720894693
F,0.16,0.745,0.71,0.013,284.0,733.7982097744216
P,0.04,0.65,1.55,0.006,293.3333333333333,348.45208899615596
W,0.19,1.08,1.44,0.012,289.0,1197.1131495117302
F,0.067,0.702,1.33,0.007,286.0,416.94072271883084
F,0.13,0.82,0.68,0.011,284.0,638.9545353616022
P,0.073,0.49,1.34,0.014,291.6666666666667,458.4415355035169
P,0.07,0.62,1.45,0.008,292.77777777777777,417.64485910102746
F,0.064,0.69,1.32,0.006,287.0,387.71502371338056
F,0.063,0.712,1.28,0.006,286.0,390.02174553088895
P,0.03,0.65,1.375,0.012,276.6666666666667,518.697270371595
P,0.07,0.56,1.35,0.013,289.0,470.03995184321445
P,0.065,0.62,1.36,0.014,293.8888888888889,425.5826558340842
P,0.06,0.65,1.18,0.012,292.77777777777777,392.369163127541
W,0.2,1.05,1.28,0.019,276.6666666666667,1512.0626565732455
P,0.17,0.52,1.315,0.015,276.6666666666667,978.0408759861824
P,0.11,0.58,1.285,0.017,283.3333333333333,677.9173288582192
W,0.22,0.63,1.705,0.014,292.77777777777777,971.4334086705143
P,0.11,0.61,1.43,0.013,276.6666666666667,765.2346226176643
W,0.01,0.9,1.33,0.012,276.6666666666667,492.11319832162343
W,0.29,0.69,1.575,0.016,276.6666666666667,1621.89296534862
W,0.25,0.2,1.33,0.009,284.0,939.8713040008046
P,0.06,0.65,1.18,0.012,293.3333333333333,388.55260667517507
F,0.1,0.9,0.74,0.006,283.2,543.570973674018
P,0.13,0.58,1.35,0.014,289.0,669.0362114016798
P,0.1,0.56,1.4,0.015,282.77777777777777,649.1186895453185
F,0.08,0.88,0.76,0.006,283.2,457.36415662626297
P,0.057,0.593,1.301,0.014,292.77777777777777,403.2022190395754
P,0.16,0.62,1.41,0.014,276.6666666666667,976.3437296084016
W,0.219,0.871,1.403,0.015,285.0,1217.4375094292168
P,0.057,0.593,1.301,0.014,291.6666666666667,411.1844219714503
P,0.1,0.528,1.332,0.013,278.3333333333333,679.6804449623339
W,0.218,0.724,1.37,0.016,280.0,1233.0786738461697
W,0.21,0.88,1.36,0.011,292.77777777777777,1020.6815590966117
P,0.1,0.5,1.42,0.015,291.1111111111111,554.3055894730489
F,0.12,0.98,0.82,0.006,290.0,605.3615921153361
P,0.06,0.59,1.49,0.006,276.6666666666667,493.2955442666069
P,0.16,0.59,1.35,0.011,289.0,755.1998149852571
P,0.12,0.58,1.35,0.014,289.0,637.0265049827868
F,0.01,0.67,1.35,0.003,276.0,381.1766039997177
W,0.041,0.605,1.76,0.008,286.0,368.7701773490044
W,0.041,0.73,1.96,0.013,292.77777777777777,378.4288865557354
W,0.1,0.51,1.5,0.015,286.0,573.9584929797807
F,0.05,0.76,1.34,0.011,287.0,402.0786799301995
W,0.044,0.582,1.68,0.007,286.0,354.1045849967318
W,0.1,0.9,1.44,0.011,289.0,610.0661311862265
W,0.0435,0.1271666666666666,1.1283333333333334,0.0094,291.6666666666667,299.3484320171959
W,0.03,0.98,1.44,0.007,276.0,509.3037889105554
