,Product_Form,Cu,Ni,Mn,P,Temperature_Celsius,AUC8e+22,AUC1.4571428571428572e+23,AUC2.1142857142857144e+23,AUC2.7714285714285714e+23,AUC3.428571428571429e+23,AUC4.0857142857142864e+23,AUC4.7428571428571424e+23,AUC5.4e+23,AUC6.057142857142857e+23,AUC6.714285714285714e+23,AUC7.371428571428572e+23,AUC8.028571428571429e+23,AUC8.685714285714285e+23,AUC9.342857142857142e+23,AUC1e+24
0,P,0.05,0.63,1.38,0.004,288.0,6.277481211521671,16.478155936465278,29.75348950569529,45.63270593244606,63.82443304182492,84.12409100852705,106.37730238873267,130.4619429489844,156.2781166151522,183.74204056728297,212.78206796504494,243.3359708604273,275.349010499169,308.77252292012287,343.56285478846667
1,F,0.05,0.7,0.64,0.006,282.6,5.583404689353431,14.6562307440591,26.463762651462872,40.587276282639,56.76761534339462,74.82281959880989,94.61558051466378,116.03727665589436,138.99905706621016,163.42640246406324,189.25558771977072,216.43126518592035,244.90474835801575,274.63275385858185,305.57645493113154
2,P,0.06,0.65,1.36,0.008,290.0,8.289025263631274,21.036322525933155,37.14746543081506,56.10071276215744,77.57813514891062,101.3563547054355,127.2669699797208,155.17648282012814,184.9760852669896,216.57445072470196,249.89264198944804,284.8639343993248,321.4269478741848,359.5300449080826,399.1252097878149
3,P,0.05,0.66,1.27,0.007,290.0,6.553946112214868,17.20386607259766,31.06385511959318,47.64240394489417,66.63530812820854,87.82897799789647,111.06223721369602,136.20758310087092,163.16072008853712,191.834175499581,222.1531471140002,254.05266641907525,287.47558392545085,322.3710924752529,358.6936162086097
4,P,0.2,0.54,1.31,0.01,283.8888888888889,38.66574037306589,86.00527784222459,137.35015141103278,191.9436362997594,249.42435226239286,309.53531315638844,372.0860525271641,436.9198928370796,503.9170801401074,572.975688394801,643.9905494002081,716.9096931961798,791.6297843629945,868.1218304804115,946.3234603574386
5,P,0.051,0.54,1.5,0.015,288.9,8.081517333161472,21.213684013050447,38.304111642897006,58.746731615104274,82.1664365892513,108.2998541475631,136.94824152267148,167.95437815489203,201.18965962034918,236.54622541116458,273.93183866314104,313.2663882260398,354.47940440406256,397.50823808170276,442.2966907344041
6,P,0.054,0.52,1.45,0.012,288.9,7.832780426213768,20.46727173010102,36.848075304978366,56.40070932940477,78.77026169184863,103.70751993414503,131.0244473628422,160.5722564973539,192.2292917974031,225.89351179993446,261.47754712718137,298.9057518347337,338.11123630438914,379.03491363863407,421.6235612955816
7,P,0.1,0.51,1.3,0.009,290.55555555555554,15.43848333768668,36.18044585425206,60.29557098752949,87.22714185465462,116.66059993843653,148.37417358201688,182.20148195728075,218.00922114858656,255.69070810852907,295.1560502975862,336.32332562887115,379.13242524796493,423.5143127090967,469.4252487900786,516.8157981730852
8,F,0.077,0.697,1.215,0.011,280.0,13.267370359701305,32.15976204253813,54.97986848198935,81.10160498405378,110.15588985407372,141.8830216576821,176.0876228975016,212.61410164047717,251.3366327166076,292.14943036002006,334.95893233787257,379.69065395052326,426.26915608969125,474.63819502390004,524.741058406767
9,P,0.14,0.662,1.255,0.009,285.0,26.95867304492089,60.98561321561627,98.78908984605124,139.70029528718166,183.372826276441,229.56141124588436,278.08314909951264,328.78956060303614,381.5644988039922,436.30961157858275,492.9294252316942,551.365874525118,611.5315049054894,673.388262498195,736.8790538094013
